course_id,course_title,is_paid,price,num_subscribers,num_reviews,num_lectures,level,content_duration,published_timestamp,subject,language,rating
1070968,Ultimate Investment Banking Course,Paid,200,2147,23,51,All Levels,1.5,2017-01-18,Business Finance,English,3.6
1113822,Complete GST Course & Certification - Grow Your CA Practice,Paid,75,2792,923,274,All Levels,39.0,2017-03-09,Business Finance,English,4.5
1006314,Financial Modeling for Business Analysts and Consultants,Paid,45,2174,74,51,Intermediate,2.5,2016-12-19,Business Finance,English,4.2
1210588,Beginner to Pro - Financial Analysis in Excel 2017,Paid,95,2451,11,36,All Levels,3.0,2017-05-30,Business Finance,English,4.5
1011058,How To Maximize Your Profits Trading Options,Paid,200,1276,45,26,Intermediate,2.0,2016-12-13,Business Finance,English,4.8
192870,Trading Penny Stocks: A Guide for All Levels In 2017,Paid,150,9221,138,25,All Levels,3.0,2014-05-02,Business Finance,English,4.234613666815543
739964,Investing And Trading For Beginners: Mastering Price Charts,Paid,65,1540,178,26,Beginner,1.0,2016-02-21,Business Finance,English,4.5
403100,"Trading Stock Chart Patterns For Immediate, Explosive Gains",Paid,95,2917,148,23,All Levels,2.5,2015-01-30,Business Finance,English,4.8
476268,Options Trading 3 : Advanced Stock Profit and Success Method,Paid,195,5172,34,38,Expert,2.5,2015-05-28,Business Finance,English,4.234613666815543
1167710,The Only Investment Strategy You Need For Your Retirement,Paid,200,827,14,15,All Levels,1.0,2017-04-18,Business Finance,English,3.7
592338,Forex Trading Secrets of the Pros With Amazon's AWS,Paid,200,4284,93,76,All Levels,5.0,2015-09-11,Business Finance,English,3.9
975046,Trading Options With Money Flow,Paid,200,1380,42,17,All Levels,1.0,2016-10-18,Business Finance,English,4.234613666815543
742602,Financial Management Risk and Return For Securities,Paid,30,3607,21,19,All Levels,1.5,2016-02-03,Business Finance,English,3.5
794151,Forex Trading Course: Work Smarter Not Harder Proven Results,Paid,195,4061,52,16,All Levels,2.0,2016-03-16,Business Finance,English,4.2
1196544,Python Algo Trading: Sentiment Trading with News,Paid,200,294,19,42,All Levels,7.0,2017-04-28,Business Finance,English,4.234613666815543
504036,Short Selling: Learn To Sell Stocks Before The Fall,Paid,75,2276,106,19,Intermediate,1.5,2015-06-22,Business Finance,English,4.5
719698,Basic Technical Analysis: Learn the structure of the market,Paid,20,4919,79,16,Beginner,1.5,2016-01-08,Business Finance,English,4.234613666815543
564966,The Complete Chart Pattern Trading Course: A Proven Approach,Paid,200,2666,115,52,All Levels,4.0,2015-08-10,Business Finance,English,3.8
606928,7 Deadly Mistakes of Investing that Will Slash Your Profits!,Paid,50,5354,24,23,All Levels,1.5,2015-09-21,Business Finance,English,4.234613666815543
58977,Financial Statements Made Easy,Paid,95,8095,249,12,Beginner,0.5833333333333334,2013-06-09,Business Finance,Catalan,4.234613666815543
1242604,Winning Forex Trading with Live Forex Trading Examples,Paid,200,809,3,25,All Levels,2.0,2017-06-06,Business Finance,English,4.234613666815543
798740,Forex Traders - Create Your First Trading Robot. No Coding!,Paid,200,2295,84,39,All Levels,4.0,2016-05-02,Business Finance,English,4.4
506568,Create A Business From Home Trading Stocks Today In 2017,Paid,75,10149,83,16,All Levels,2.0,2015-05-26,Business Finance,English,4.234613666815543
1020760,Introduction to Accounting : Mastering Financial Statements,Paid,50,1916,38,23,Beginner,1.0,2016-12-05,Business Finance,English,4.5
859742,The Complete Ethereum Course: Get .01 Ether In Your Wallet,Paid,45,2507,333,40,All Levels,2.0,2016-05-30,Business Finance,English,4.234613666815543
383414,Beginner to Pro in PowerPoint: Complete PowerPoint Training,Paid,150,5786,518,50,All Levels,5.0,2015-01-31,Business Finance,English,4.5
353044,Investing 101: The Complete Online Investing Course,Paid,200,5334,373,42,All Levels,4.5,2014-11-28,Business Finance,English,4.3
447362,Create Your Own Hedge Fund: Trade Stocks Like A Fund Manager,Paid,175,4005,237,25,Intermediate,2.0,2015-04-12,Business Finance,English,4.4
831066,Learn MQL5: Build an 8-Currency Hedging Robot (MetaTrader 5),Paid,150,2877,103,81,All Levels,4.5,2016-04-26,Business Finance,English,4.234613666815543
1266306,Forex Trading: Your Complete Guide to Get Started Like a Pro,Paid,140,1026,25,37,Beginner,3.0,2017-06-27,Business Finance,English,4.5
